epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
162,731.466,0.62499,0.42316,0.89326,0.89422,0.56164,0.72651,0.48548,1.38579,1.68856,1.22208,0.0004061,0.0004061,0.0004061
163,735.862,0.63426,0.40582,0.89839,0.93193,0.56268,0.73656,0.5059,1.35036,1.58977,1.18031,0.0003962,0.0003962,0.0003962
164,740.314,0.63161,0.41522,0.90653,0.93596,0.57534,0.73734,0.48717,1.40413,1.40528,1.22629,0.0003863,0.0003863,0.0003863
165,744.785,0.62083,0.40212,0.90283,0.89403,0.5779,0.73076,0.47442,1.379,1.50144,1.21358,0.0003764,0.0003764,0.0003764
166,749.236,0.60815,0.40257,0.89667,0.86621,0.53217,0.68942,0.44456,1.41786,1.64198,1.25812,0.0003665,0.0003665,0.0003665
167,753.632,0.61936,0.40473,0.91433,0.8156,0.60595,0.70559,0.45251,1.43677,1.44327,1.24451,0.0003566,0.0003566,0.0003566
168,758.278,0.62981,0.41504,0.91311,0.821,0.61644,0.70039,0.43886,1.4446,1.30223,1.24744,0.0003467,0.0003467,0.0003467
169,763.055,0.61497,0.40342,0.89994,0.7861,0.6545,0.71008,0.4549,1.42232,1.3358,1.25013,0.0003368,0.0003368,0.0003368
170,767.822,0.61101,0.39446,0.8959,0.77231,0.65056,0.74121,0.4879,1.42794,1.44948,1.23898,0.0003269,0.0003269,0.0003269
171,772.835,0.60005,0.38878,0.89575,0.8978,0.56164,0.7186,0.48399,1.42586,1.6289,1.24576,0.000317,0.000317,0.000317
172,777.479,0.59561,0.41048,0.90096,0.93677,0.53425,0.67558,0.4409,1.47131,1.86986,1.25444,0.0003071,0.0003071,0.0003071
173,782.377,0.5772,0.39005,0.87864,0.91758,0.56164,0.72097,0.45806,1.43475,1.6873,1.23589,0.0002972,0.0002972,0.0002972
174,787.033,0.59067,0.39467,0.89255,0.8681,0.61644,0.74197,0.48712,1.39595,1.50371,1.23036,0.0002873,0.0002873,0.0002873
