epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
167,32468.1,1.18212,0.62845,1.04819,0.79489,0.6996,0.74529,0.41021,1.37374,0.72861,1.15725,0.001783,0.001783,0.001783
168,32609.5,1.19043,0.63469,1.05201,0.79773,0.69917,0.7458,0.41056,1.37429,0.72816,1.15774,0.0017335,0.0017335,0.0017335
169,32767.1,1.19228,0.63344,1.04959,0.79559,0.70184,0.74606,0.41066,1.37431,0.72787,1.15785,0.001684,0.001684,0.001684
170,32904.3,1.17673,0.62572,1.04568,0.79651,0.70072,0.74638,0.41082,1.37431,0.72736,1.15807,0.0016345,0.0016345,0.0016345
171,33055,1.18805,0.62932,1.0462,0.79549,0.7022,0.74662,0.41113,1.37431,0.72691,1.15841,0.001585,0.001585,0.001585
172,33205.5,1.17436,0.62242,1.04521,0.79689,0.70228,0.74716,0.41151,1.37464,0.72636,1.15871,0.0015355,0.0015355,0.0015355
173,33384.9,1.16828,0.62061,1.04015,0.79684,0.70239,0.74738,0.41175,1.37497,0.7265,1.15908,0.001486,0.001486,0.001486
174,33533.2,1.1695,0.62047,1.04125,0.79577,0.70373,0.74752,0.41174,1.37457,0.72586,1.15899,0.0014365,0.0014365,0.0014365
175,33702.5,1.16465,0.61851,1.03995,0.79564,0.70415,0.74796,0.41175,1.3749,0.72557,1.15931,0.001387,0.001387,0.001387
176,33845.7,1.1619,0.61525,1.03998,0.79586,0.70339,0.74762,0.41222,1.37481,0.72475,1.15949,0.0013375,0.0013375,0.0013375
177,33987.6,1.15593,0.61223,1.03732,0.79682,0.70362,0.74791,0.4122,1.3748,0.72449,1.15952,0.001288,0.001288,0.001288
178,34105.8,1.14989,0.60804,1.03448,0.79564,0.70415,0.74743,0.41217,1.37479,0.72428,1.15955,0.0012385,0.0012385,0.0012385
179,34265.1,1.15688,0.61101,1.03569,0.79649,0.70262,0.74717,0.41226,1.37504,0.72424,1.1598,0.001189,0.001189,0.001189
180,34392.4,1.1454,0.60777,1.03292,0.79642,0.70359,0.74695,0.41221,1.37501,0.72421,1.16012,0.0011395,0.0011395,0.0011395
181,34489.2,1.14347,0.60631,1.0338,0.79564,0.70273,0.74678,0.41233,1.37517,0.72425,1.16039,0.00109,0.00109,0.00109
